Date;Fila
1/1/1985;25.052
2/1/1985;28.672
3/1/1985;24.502
4/1/1985;74.714
5/1/1985;53.151
6/1/1985;80.904
7/1/1985;26.202
8/1/1985;32.485
9/1/1985;30.584
10/1/1985;563.154
11/1/1985;580.005
12/1/1985;687.145
1/1/1986;33.057
2/1/1986;79.869
3/1/1986;22.221
4/1/1986;70.329
5/1/1986;58.137
6/1/1986;99.005
7/1/1986;57.655
8/1/1986;44.816
9/1/1986;10.005
10/1/1986;575.322
11/1/1986;593.417
12/1/1986;681.354
1/1/1987;38.152
2/1/1987;40.062
3/1/1987;50.615
4/1/1987;301.586
5/1/1987;88.734
6/1/1987;38.918
7/1/1987;88.694
8/1/1987;500.669
9/1/1987;41.151
10/1/1987;603.789
11/1/1987;624.643
12/1/1987;705.777
1/1/1988;98.703
2/1/1988;61.622
3/1/1988;462.928
4/1/1988;32.384
5/1/1988;14.065
6/1/1988;71.097
7/1/1988;29.816
8/1/1988;57.655
9/1/1988;75.152
10/1/1988;632.832
11/1/1988;651.078
12/1/1988;738.631
1/1/1989;79.188
2/1/1989;66.822
3/1/1989;33.523
4/1/1989;51.081
5/1/1989;36.892
6/1/1989;84.722
7/1/1989;40.301
8/1/1989;50.448
9/1/1989;93.053
10/1/1989;658.735
11/1/1989;690.706
12/1/1989;841.949
1/1/1990;43.598
2/1/1990;71.726
3/1/1990;31.964
4/1/1990;72.781
5/1/1990;58.218
6/1/1990;14.654
7/1/1990;6.614
8/1/1990;71.052
9/1/1990;3.061
10/1/1990;674.365
11/1/1990;685.665
12/1/1990;776.839
1/1/1991;60.214
2/1/1991;75.573
3/1/1991;3.365
4/1/1991;74.156
5/1/1991;88.162
6/1/1991;48.448
7/1/1991;600.928
8/1/1991;91.606
9/1/1991;35.743
10/1/1991;687.538
11/1/1991;725.166
12/1/1991;794.894
1/1/1992;52.855
2/1/1992;501.643
3/1/1992;45.275
4/1/1992;96.441
5/1/1992;71.784
6/1/1992;12.078
7/1/1992;75.081
8/1/1992;65.374
9/1/1992;23.541
10/1/1992;690.286
11/1/1992;734.992
12/1/1992;845.159
1/1/1993;79.464
2/1/1993;45.561
3/1/1993;94.747
4/1/1993;10.578
5/1/1993;76.762
6/1/1993;43.297
7/1/1993;21.048
8/1/1993;20.605
9/1/1993;46.031
10/1/1993;69.681
11/1/1993;744.292
12/1/1993;842.284
1/1/1994;41.386
2/1/1994;71.607
3/1/1994;92.456
4/1/1994;309.749
5/1/1994;93.844
6/1/1994;79.831
7/1/1994;3.277
8/1/1994;18.872
9/1/1994;56.826
10/1/1994;712.661
11/1/1994;752.458
